show_attributes_id,number_of_seasons,number_of_episodes,episode_run_time,in_production
1,8,73,0,False
2,3,41,70,False
3,4,34,0,True
4,11,177,42,False
5,6,93,45,False
6,7,137,45,False
7,2,9,0,True
8,5,62,0,False
9,6,116,43,True
10,1,9,0,False
11,9,184,44,False
12,12,279,22,False
13,2,12,52,True
14,19,419,43,True
15,3,24,0,True
16,35,762,22,True
17,2,16,60,True
18,4,32,0,True
19,6,36,58,False
20,7,49,50,True
21,4,32,60,True
22,7,71,22,True
23,8,171,43,False
24,1,6,50,False
25,20,500,25,False
26,7,100,43,False
27,2,8,0,True
28,10,228,25,False
29,15,327,45,False
30,4,32,0,False
31,6,89,44,False
32,3,26,53,False
33,8,177,44,False
34,6,50,30,True
35,5,55,24,True
36,8,170,42,False
37,4,87,0,True
38,1,5,0,False
39,12,130,0,True
40,4,220,24,False
41,3,441,42,False
42,4,36,60,False
43,1,8,53,False
44,4,12,90,False
45,4,96,24,False
46,1,131,24,False
47,8,113,0,True
48,5,88,45,False
49,7,138,24,True
50,9,134,42,False
51,3,27,47,False
52,6,26,0,True
53,9,208,22,False
54,6,63,0,False
55,6,129,24,True
56,2,33,35,False
57,4,45,43,False
58,9,291,26,False
59,1,9,0,True
60,21,1080,24,True
61,3,39,52,False
62,6,126,42,False
63,7,151,22,False
64,22,411,22,True
65,4,49,57,False
66,26,321,22,True
67,1,7,0,False
68,6,100,0,False
69,10,216,43,False
70,3,24,42,True
71,2,12,45,True
72,4,93,45,False
73,1,9,34,True
74,8,96,55,False
75,6,118,0,False
76,1,37,22,False
77,3,61,25,False
78,9,186,0,False
79,16,334,42,True
80,1,10,0,True
81,24,538,43,True
82,7,151,43,False
83,3,39,42,False
84,1,113,45,False
85,2,9,41,True
86,2,12,65,True
87,2,36,60,False
88,7,136,43,False
89,3,24,24,True
90,2,20,43,False
91,3,36,42,False
92,5,100,43,False
93,1,335,39,False
94,5,92,45,False
95,1,10,60,False
96,2,52,130,False
97,12,246,40,False
98,1,6,0,False
99,6,49,10,True
100,8,152,21,False
101,6,122,45,False
102,8,134,22,True
103,12,262,30,False
104,10,218,43,False
105,3,35,0,True
106,1,2,90,False
107,1,47,24,True
108,1,153,25,False
109,5,40,45,True
110,4,30,60,True
111,2,16,21,False
112,8,699,0,True
113,4,68,43,False
114,14,578,11,True
115,11,218,45,False
116,4,340,50,False
117,13,153,80,True
118,5,71,42,False
119,7,92,45,False
120,1,16,77,False
121,2,40,22,False
122,3,30,57,False
123,4,49,0,False
124,10,279,11,False
125,5,56,50,True
126,7,161,41,False
127,6,73,0,False
128,8,83,0,True
129,1,6,47,False
130,11,250,25,False
131,1,8,0,True
132,4,40,50,False
133,1,293,25,True
134,6,86,0,False
135,1,7,60,False
136,5,51,50,True
137,11,134,57,False
138,3,24,36,False
139,1,10,0,False
140,7,91,60,False
141,2,26,53,False
142,3,33,53,False
143,10,208,42,True
144,2,23,55,False
145,6,52,25,False
146,6,96,43,True
147,3,24,60,False
148,5,100,46,False
149,7,110,42,False
150,6,127,22,True
151,3,39,43,False
152,2,19,50,False
153,6,76,25,False
154,4,48,24,False
155,8,178,42,False
156,6,62,43,False
157,6,148,23,False
158,3,43,44,True
159,20,457,45,True
160,3,24,60,True
161,4,78,43,False
162,11,239,42,True
163,4,40,0,True
164,4,44,0,False
165,1,8,50,False
166,1,10,50,False
167,7,156,43,False
168,2,259,0,False
169,5,60,60,False
170,2,18,30,True
171,6,94,25,False
172,20,366,22,True
173,1,5,22,False
174,6,121,42,False
175,2,193,24,False
176,2,14,50,False
177,4,52,23,False
178,1,11,45,False
179,2,17,48,True
180,2,16,56,True
181,6,55,52,True
182,8,257,11,False
183,1,64,25,False
184,3,48,46,False
185,3,183,42,True
186,5,47,0,True
187,7,133,25,False
188,5,49,24,False
189,4,57,24,False
190,1,11,0,True
191,4,138,11,False
192,7,320,23,False
193,2,12,0,True
194,1,24,24,False
195,4,49,24,False
196,1,151,47,False
197,9,180,22,False
198,1,7,23,False
199,3,16,56,True
200,2,18,50,False
201,2,18,43,False
202,7,80,60,False
203,8,173,45,False
204,4,46,44,False
205,8,179,0,False
206,2,23,42,False
207,2,392,24,True
208,1,25,65,False
209,2,26,46,False
210,4,70,24,False
211,4,40,30,False
212,9,182,24,False
213,2,22,45,False
214,1,18,40,False
215,5,56,60,True
216,5,107,60,False
217,25,1234,23,False
218,3,43,75,False
219,3,30,0,False
220,10,240,42,False
221,4,59,23,False
222,7,144,43,False
223,5,65,45,False
224,2,27,0,True
225,4,52,22,False
226,5,46,60,False
227,5,103,43,False
228,3,28,30,False
229,3,148,24,False
230,3,32,55,False
231,7,154,43,False
232,10,232,42,False
233,2,38,24,True
234,10,124,25,False
235,6,110,22,False
236,5,50,43,False
237,3,26,60,False
238,1,16,75,False
239,5,98,43,True
240,3,23,53,False
241,6,90,43,False
242,3,51,42,False
243,4,197,45,False
244,3,30,43,False
245,1,26,25,False
246,2,24,24,False
247,2,24,60,False
248,3,28,56,False
249,4,20,59,True
250,4,85,22,False
251,2,20,60,False
252,2,172,53,False
253,1,149,60,False
254,3,43,22,False
255,6,53,28,False
256,6,137,25,False
257,2,26,60,False
258,1,13,60,False
259,10,214,42,False
260,3,220,0,False
261,1,75,0,False
262,7,102,43,True
263,6,95,43,True
264,1,9,40,True
265,2,29,45,False
266,1,8,60,False
267,4,73,44,False
268,4,102,11,False
269,2,24,24,True
270,6,107,25,False
271,9,204,45,False
272,1,10,27,True
273,3,48,44,False
274,4,50,22,False
275,4,62,42,False
276,6,105,43,False
277,2,13,47,False
278,1,8,45,False
279,1,8,81,False
280,3,23,0,True
281,7,176,45,False
282,3,34,0,True
283,2,20,23,True
284,8,200,25,False
285,7,125,22,False
286,6,240,11,True
287,3,47,24,True
288,4,140,11,False
289,1,12,24,False
290,5,190,24,True
291,4,30,0,False
292,3,27,50,False
293,3,24,54,True
294,7,146,22,False
295,1,10,11,False
296,6,128,42,True
297,4,46,49,True
298,6,80,0,False
299,2,16,52,True
300,2,14,0,False
301,3,30,45,True
302,1,161,25,False
303,1,197,45,False
304,3,27,40,False
305,5,84,22,False
306,4,38,60,False
307,4,24,22,False
308,2,39,24,False
309,3,50,24,True
310,6,134,44,False
311,3,30,50,False
312,3,27,60,False
313,1,179,0,False
314,4,30,30,True
315,6,107,42,False
316,1,14,25,False
317,3,21,24,True
318,4,85,24,False
319,1,114,24,False
320,3,25,40,False
321,6,63,60,False
322,4,84,48,False
323,2,12,26,False
324,3,79,50,False
325,3,36,30,False
326,1,13,25,False
327,3,20,45,False
328,4,30,0,True
329,3,28,47,False
330,4,32,43,False
331,1,7,59,False
332,2,18,42,False
333,4,40,60,False
334,2,22,60,False
335,3,8,60,True
336,4,32,24,False
337,7,61,44,False
338,3,226,0,False
339,1,95,45,False
340,14,139,22,True
341,5,65,23,False
342,2,10,52,True
343,1,13,24,False
344,14,323,45,False
345,5,52,60,False
346,1,169,45,False
347,15,335,45,False
348,5,154,11,False
349,2,18,0,False
350,15,264,21,True
351,3,29,43,False
352,1,24,23,False
353,3,17,30,True
354,2,24,23,True
355,5,121,22,False
356,1,177,45,False
357,1,50,24,True
358,4,38,50,False
359,7,92,47,False
360,3,80,30,False
361,2,16,60,False
362,1,69,45,False
363,1,48,30,False
364,5,76,22,False
365,3,220,45,False
366,1,35,50,False
367,4,43,60,False
368,8,163,42,True
369,6,145,24,False
370,1,10,25,False
371,2,92,40,True
372,3,25,0,True
373,4,101,23,False
374,3,40,40,False
375,3,46,23,False
376,4,98,22,False
377,2,20,0,True
378,3,36,42,True
379,3,37,24,False
380,4,65,23,False
381,3,52,24,False
382,2,23,23,False
383,1,20,60,False
384,7,84,28,False
385,7,163,22,False
386,4,47,43,False
387,3,49,22,False
388,4,38,33,False
389,11,146,45,True
390,4,60,43,True
391,1,9,54,False
392,2,20,44,False
393,1,11,60,False
394,7,71,27,True
395,3,18,45,True
396,2,47,24,False
397,8,192,25,False
398,4,47,23,True
399,4,103,21,False
400,2,25,24,False
401,2,265,60,False
402,16,169,22,True
403,1,10,51,False
404,1,12,25,False
405,5,65,22,False
406,3,50,28,False
407,4,62,45,False
408,2,64,50,False
409,1,13,30,False
410,4,32,45,False
411,3,18,0,False
412,1,60,60,False
413,3,55,24,False
414,5,56,60,False
415,1,12,30,False
416,2,52,22,False
417,5,20,60,False
418,3,55,42,False
419,5,100,45,False
420,3,30,56,False
421,8,125,42,False
422,1,5,120,False
423,5,89,43,False
424,11,258,22,False
425,7,184,11,False
426,5,91,43,False
427,6,115,24,False
428,4,88,22,False
429,1,12,20,False
430,3,29,0,True
431,1,22,23,False
432,4,96,21,False
433,8,328,25,False
434,5,98,45,False
435,4,130,22,False
436,3,33,30,False
437,2,26,23,True
438,3,126,24,False
439,2,6,59,True
440,2,12,51,False
441,1,262,60,False
442,3,28,60,False
443,6,47,66,False
444,5,200,24,False
445,1,3,0,False
446,5,56,41,False
447,10,268,12,False
448,1,2,105,False
449,3,22,50,False
450,7,153,44,False
451,20,282,42,False
452,2,20,45,False
453,1,12,0,True
454,5,94,42,False
455,3,30,30,False
456,1,26,50,False
457,4,39,65,False
458,1,224,24,False
459,5,110,41,False
460,3,53,42,False
461,3,33,50,False
462,5,108,43,False
463,5,63,50,False
464,1,16,60,False
465,5,65,43,False
466,6,136,12,False
467,1,36,25,False
468,2,32,0,True
469,14,269,23,True
470,5,186,12,False
471,4,58,45,False
472,3,24,47,False
473,5,65,42,False
474,1,8,50,True
475,7,171,45,False
476,1,12,57,False
477,2,16,50,False
478,6,166,25,False
479,1,8,0,False
480,1,16,72,False
481,2,21,0,False
482,2,31,44,False
483,1,101,23,False
484,10,148,30,True
485,5,156,30,False
486,2,37,25,False
487,6,75,48,False
488,5,100,40,False
489,1,6,30,False
490,1,20,81,False
491,7,93,25,False
492,2,6,52,True
493,4,52,24,False
494,7,84,60,True
495,2,48,24,True
496,4,139,90,False
497,2,20,50,False
498,3,25,52,False
499,1,8,201,False
500,1,51,24,False
501,4,67,22,False
502,1,4,26,False
503,3,19,45,True
504,4,38,0,False
505,5,37,45,False
506,2,52,23,False
507,4,42,45,False
508,8,102,25,False
509,1,114,40,False
510,5,68,44,False
511,3,33,25,True
512,3,36,22,False
513,4,78,42,False
514,2,104,22,False
515,4,59,22,False
516,1,22,45,False
517,13,275,45,True
518,1,21,60,False
519,5,95,30,False
520,3,18,50,False
521,1,149,22,False
522,4,49,44,False
523,5,128,24,False
524,3,30,15,False
525,15,331,45,False
526,4,69,0,False
527,7,139,45,False
528,6,158,26,False
529,3,17,57,False
530,4,221,7,False
531,4,30,49,True
532,6,71,50,False
533,5,100,43,True
534,3,76,24,False
535,3,69,120,False
536,1,6,60,False
537,2,20,52,True
538,1,11,23,False
539,2,36,23,True
540,3,24,0,False
541,3,39,23,False
542,5,223,23,True
543,2,12,30,False
544,5,47,30,False
545,5,139,25,False
546,6,102,43,False
547,6,121,43,False
548,3,36,55,False
549,1,4,75,False
550,4,92,42,False
551,2,26,22,False
552,4,106,23,False
553,3,18,30,True
554,5,50,52,False
555,7,45,24,True
556,3,94,25,False
557,5,52,24,False
558,4,89,43,False
559,4,97,44,False
560,4,43,15,False
561,7,82,100,False
562,8,120,43,False
563,3,26,0,True
564,1,8,60,True
565,2,16,51,True
566,30,973,22,False
567,1,2,93,False
568,11,264,24,False
569,3,31,22,False
570,3,18,30,False
571,5,86,24,False
572,1,5,20,False
573,1,7,64,False
574,1,183,45,False
575,16,210,22,False
576,2,15,30,True
577,10,444,12,True
578,6,126,11,False
579,3,37,24,True
580,5,60,22,False
581,1,20,11,False
582,1,190,60,False
583,4,44,45,False
584,2,74,120,False
585,1,10,40,False
586,3,71,23,False
587,1,8,31,False
588,10,284,45,False
589,33,219,60,True
590,7,273,22,False
591,3,41,22,False
592,1,18,28,False
593,1,32,35,False
594,6,139,11,False
595,4,95,21,False
596,5,43,0,False
597,3,55,43,False
598,10,193,22,False
599,4,39,18,True
600,2,26,43,False
601,5,275,0,False
602,2,42,8,True
603,1,12,12,False
604,2,50,25,False
605,4,92,25,True
606,1,18,60,False
607,8,254,25,False
608,2,85,45,False
609,7,88,45,False
610,11,110,30,True
611,6,56,60,False
612,2,120,45,False
613,2,22,42,False
614,3,34,45,False
615,4,38,30,False
616,3,32,43,False
